seller,title,location,price,price_per_sq,area,rooms,market,building_type,floor,total_floors,material,year_built,ownership_type
"('Oferta biura nieruchomości',)","('4 pokoje, 15 min Centrum, dwa garaże',)","('Warszawa, Praga-Południe, Grochowska',)","('440520',)","('8009',)","('55',)","('4',)","('wtórny',)","('blok',)","('3',)","('5',)","('cegła',)","('2019',)",pełna własność
"('Oferta biura nieruchomości',)","('Duża kawalerka 39 m2 na Zielonej Białołęce.',)","('Warszawa, Białołęka, Skarbka z Gór',)","('285000',)","('7308',)","('39',)","('1',)","('wtórny',)","('blok',)","('1',)","('3',)","('cegła',)","('2008',)",pełna własność
"('Oferta biura nieruchomości',)","('Ustawne, wygodne 4 pokoje mieszkanie - Białołęka',)","('Warszawa, Białołęka, Skarbka z Gór',)","('464000',)","('6113',)","('75,90',)","('4',)","('wtórny',)","('blok',)","('1',)","('3',)","('cegła',)","('2002',)",pełna własność
"('Oferta biura nieruchomości',)","('2 pokojowe mieszkanie na ładnym osiedlu',)","('Warszawa, Białołęka, Skarbka z Gór',)","('355000',)","('8637',)","('41,10',)","('2',)","('wtórny',)","('blok',)","('parter',)","('2',)","('Brak danych',)","('2013',)",pełna własność
"('Oferta prywatna',)","('2 pokoje na Mokotowie- atrakcyjny system płatności',)","('Warszawa, Mokotów, ul. Ludwiga van Beethovena',)","('489000',)","('10819',)","('45,20',)","('2',)","('pierwotny',)","('blok',)","('3',)","('5',)","('żelbet',)","('2019',)",pełna własność
"('Oferta prywatna',)","('Trzypokojowe 62 m ul. Jarocińska - REZERWACJA',)","('Warszawa, Praga-Południe, ul. Jarocińska',)","('439000',)","('7081',)","('62',)","('3',)","('wtórny',)","('blok',)","('6',)","('12',)","('wielka płyta',)","('1980',)",spółdzielcze wł. z KW
"('Oferta biura nieruchomości',)","('Piękny apartament na Starym Mokotowie',)","('Warszawa, Mokotów, Antoniego Odyńca',)","('1450000',)","('16997',)","('85,31',)","('3',)","('wtórny',)","('kamienica',)","('1',)","('4',)","('cegła',)","('1936',)",Brak danych
"('Oferta biura nieruchomości',)","('Targowa, bardzo wysokie, unikat',)","('Warszawa, Praga-Północ',)","('1550000',)","('10333',)","('150',)","('5',)","('wtórny',)","('kamienica',)","('2',)","('4',)","('cegła',)","('1907',)",pełna własność
"('Oferta prywatna',)","('86m przy ul. Okrzei - oferta bezpośrednia',)","('Warszawa, Praga-Północ, ul. Stefana Okrzei',)","('899000',)","('10403',)","('86,42',)","('3',)","('wtórny',)","('blok',)","('3',)","('6',)","('cegła',)","('2010',)",pełna własność
"('Oferta prywatna',)","('Sprzedam 2 pokoje, bezpośrednio, Bielany, piękne m',)","('Warszawa, Bielany',)","('449000',)","('9673',)","('46,42',)","('2',)","('wtórny',)","('blok',)","('parter',)","('3',)","('cegła',)","('1957',)",pełna własność
"('Oferta prywatna',)","('BEZPOŚREDNIO -dwu pokojowe mieszkanie na Bemowie',)","('Warszawa, Bemowo, ul. Rozłogi',)","('345000',)","('9718',)","('35,50',)","('2',)","('wtórny',)","('blok',)","('6',)","('Brak danych',)","('Brak danych',)","('1980',)",spółdzielcze wł. z KW
"('Oferta prywatna',)","('Apartament na Mokotowie / BEZPOŚREDNIO / MODUO',)","('Warszawa, Mokotów, ul. Cybernetyki',)","('699706',)","('10865',)","('64,40',)","('3',)","('pierwotny',)","('apartamentowiec',)","('parter',)","('8',)","('cegła',)","('2020',)",pełna własność
"('Oferta biura nieruchomości',)","('Duża kawalerka 39 m2 na Zielonej Białołęce.',)","('Warszawa, Białołęka, Skarbka z Gór',)","('285000',)","('7308',)","('39',)","('1',)","('wtórny',)","('blok',)","('1',)","('3',)","('cegła',)","('2008',)",pełna własność
"('Oferta biura nieruchomości',)","('2 pokojowe mieszkanie na ładnym osiedlu',)","('Warszawa, Białołęka, Skarbka z Gór',)","('355000',)","('8637',)","('41,10',)","('2',)","('wtórny',)","('blok',)","('parter',)","('2',)","('Brak danych',)","('2013',)",pełna własność
"('Oferta biura nieruchomości',)","('Ustawne, wygodne 4 pokoje mieszkanie - Białołęka',)","('Warszawa, Białołęka, Skarbka z Gór',)","('464000',)","('6113',)","('75,90',)","('4',)","('wtórny',)","('blok',)","('1',)","('3',)","('cegła',)","('2002',)",pełna własność
"('Oferta biura nieruchomości',)","('Nowe, 2-pokojowe, idealne pod najem. Mokotów.',)","('Warszawa, Mokotów',)","('465560',)","('10300',)","('45,20',)","('2',)","('pierwotny',)","('apartamentowiec',)","('1',)","('5',)","('inne',)","('2020',)",pełna własność
"('Oferta biura nieruchomości',)","('Rozkładowe, 4 pok. mieszkanie z loggią i piwnicą',)","('Warszawa, Białołęka, Feliksa Pancera',)","('499000',)","('6644',)","('75,10',)","('4',)","('wtórny',)","('blok',)","('1',)","('3',)","('wielka płyta',)","('1987',)",pełna własność
"('Oferta biura nieruchomości',)","('Nowe, 2-pokojowe z oddzielną kuchnią. Mokotów.',)","('Warszawa, Mokotów',)","('495533',)","('10300',)","('48,11',)","('2',)","('wtórny',)","('apartamentowiec',)","('1',)","('5',)","('inne',)","('2020',)",pełna własność
"('Oferta biura nieruchomości',)","('Apartament z tarasem i ogrodem zimowym na Powiślu',)","('Warszawa, Śródmieście, Powiśle',)","('1373900',)","('11000',)","('124,90',)","('4',)","('wtórny',)","('blok',)","('2',)","('11',)","('żelbet',)","('1995',)",spółdzielcze własnościowe
"('Oferta biura nieruchomości',)","('Gotowe 3 pokoje Mokotów, Cybernetyki',)","('Warszawa, Mokotów',)","('587765',)","('11500',)","('51,11',)","('3',)","('pierwotny',)","('Brak danych',)","('4',)","('6',)","('inne',)","('2019',)",pełna własność
"('Oferta biura nieruchomości',)","('Zamieszkaj przy Och Teatr / 12 min do Centrum',)","('Warszawa, Ochota',)","('550000',)","('9966',)","('55,19',)","('2',)","('wtórny',)","('blok',)","('5',)","('7',)","('cegła',)","('1955',)",pełna własność
"('Oferta biura nieruchomości',)","('Zamieszkaj przy Och Teatr / 12 min do Centrum',)","('Warszawa, Ochota',)","('550000',)","('9966',)","('55,19',)","('3',)","('wtórny',)","('blok',)","('5',)","('7',)","('cegła',)","('1955',)",pełna własność
"('Oferta biura nieruchomości',)","('Piękny dwupoziomowy apartament. Forty Bema',)","('Warszawa, Bemowo',)","('1150000',)","('10952',)","('105',)","('3',)","('wtórny',)","('apartamentowiec',)","('5',)","('5',)","('Brak danych',)","('2005',)",pełna własność
"('Oferta biura nieruchomości',)","('2 pokoje przy WAT | Stan idealny',)","('Warszawa, Bemowo',)","('425000',)","('12438',)","('34,17',)","('2',)","('wtórny',)","('blok',)","('3',)","('4',)","('Brak danych',)","('2011',)",Brak danych
"('Oferta biura nieruchomości',)","('3 pokojowe mieszkanie z przy metrze Wawryszew',)","('Warszawa, Bielany, Samuela Bogumiła Lindego',)","('479000',)","('9124',)","('52,50',)","('3',)","('wtórny',)","('blok',)","('parter',)","('4',)","('Brak danych',)","('1968',)",Brak danych
